lat_gps,lon_gps,alt_gps,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,lat,lon,depth,height,time,time_gps
40.595791668,121.029191667,13.8989,-0.15271630954950383,0.05480333851262195,2.1005037547751755,10.25496530973609,16.936291405659027,0.136096,-20.0,2.8380040591806286,0.0,0.0,0.0,0.0,0.0,0.0,-0.0446,-0.01,0.0047,-0.0446,-0.01,0.0047,0.136096,20.0,-0.195,0.0,0.0,0.0,0.0,40.605151253,121.017654322,0.0,-0.0446,0.0,0.0
40.595791668,121.029191667,13.8989,-0.16283921921107095,0.056025068989017976,2.101376419401173,1077.3826378471374,1532.8469355982531,136.630417,-1892.298828,298.47894159614947,673.0562413869334,-9321.669103553853,-0.8472906404036851,673.0562413869334,-9321.669103553853,-0.8472906404036851,-0.024,0.02,0.006,-0.024,0.02,0.006,136.630417,1892.298828,-0.172,0.2029999999977008,0.2029999999977008,0.2029999999977008,0.2029999999977008,40.605154665,121.017650975,0.0,-0.024,0.2029999999977008,0.0
40.595791668,121.029191667,13.6957,-0.16772614111665507,0.061086523819801536,2.101550952326372,1078.4248103463594,1529.9153937023568,136.626755,-1891.837769,306.7178888469104,679.735099499338,-9412.128203936489,-0.8955223880555521,679.735099499338,-9412.128203936489,-0.8955223880555521,0.0086,0.03,-0.0043,0.0086,0.03,-0.0043,136.626755,1891.837769,-0.18,0.4039999999986321,0.4039999999986321,0.4039999999986321,0.4039999999986321,40.605157949,121.017647651,0.0,0.0086,0.4039999999986321,0.0
40.595791668,121.029191667,13.6957,-0.16441001553786586,0.062482787221396996,2.0992820242987795,1075.39388857751,1533.047417928413,136.62442,-1891.611694,300.257683219018,1352.7170297197313,-18728.82865369741,-2.0891089109169747,1352.7170297197313,-18728.82865369741,-2.0891089109169747,0.0441,0.0,-0.0393,0.0441,0.0,-0.0393,136.62442,1891.611694,-0.211,0.5049999999973807,0.5049999999973807,0.5049999999973807,0.5049999999973807,40.605159562,121.017646025,0.0,0.0441,0.5049999999973807,0.0
40.595791668,121.029191667,13.6957,-0.16057029118347832,0.06056292504420324,2.093871503617597,1066.6769321592294,1540.176328985953,136.620911,-1891.381104,293.33429817438054,1339.4206960444176,-18542.951999529112,-2.372549019547593,1339.4206960444176,-18542.951999529112,-2.372549019547593,0.0517,-0.03,-0.0751,0.0517,-0.03,-0.0751,136.620911,1891.381104,-0.242,0.6069999999999709,0.6069999999999709,0.6069999999999709,0.6069999999999709,40.605161214,121.017644379,0.0,0.0517,0.6069999999999709,0.0
40.595791668,121.029191667,13.6957,-0.15132004614790837,0.05550147021341968,2.0856684561332237,1053.0976495424568,1552.250849672043,136.615463,-1891.150635,276.79815745084204,1339.3672843274835,-18540.69250019045,-2.60784313728169,1339.3672843274835,-18540.69250019045,-2.60784313728169,0.1561,-0.05,-0.1027,0.1561,-0.05,-0.1027,136.615463,1891.150635,-0.266,0.7089999999989232,0.7089999999989232,0.7089999999989232,0.7089999999989232,40.605162876,121.017642751,0.0,0.1561,0.7089999999989232,0.0
40.595791668,121.029191667,13.6957,-0.10070549784007281,0.03787364476827695,2.0622810441565,1014.4532954121644,1590.6670202420792,136.593903,-1890.694458,184.51676496804095,679.5716567132692,-9406.440089508655,-1.2835820895462915,679.5716567132692,-9406.440089508655,-1.2835820895462915,0.3557,-0.09,-0.1515,0.3557,-0.09,-0.1515,136.593903,1890.694458,-0.258,0.9099999999998545,0.9099999999998545,0.9099999999998545,0.9099999999998545,40.605166224,121.017639629,0.0,0.3557,0.9099999999998545,0.0
40.595791668,121.029191667,13.6957,-0.06056292504420324,0.026878070480712675,2.0470966796641488,989.2460982248832,1612.9780922981452,136.579544,-1890.464355,110.46872336501227,1352.2727128880429,-18717.46886161806,-2.3960396039900846,1352.2727128880429,-18717.46886161806,-2.3960396039900846,0.4681,-0.1,-0.1708,0.4681,-0.1,-0.1708,136.579544,1890.464355,-0.242,1.010999999998603,1.010999999998603,1.010999999998603,1.010999999998603,40.605167932,121.017638086,0.0,0.4681,1.010999999998603,0.0
40.595791668,121.029191667,13.6957,-0.010471975511965976,0.015184364492350668,2.0294688542190062,959.5707209510588,1634.1827470360022,136.561142,-1890.234497,17.499368489111383,1338.8347255039484,-18531.710755092317,-2.147058823551466,1338.8347255039484,-18531.710755092317,-2.147058823551466,0.5342,-0.12,-0.1893,0.5342,-0.12,-0.1893,136.561142,1890.234497,-0.219,1.1129999999975553,1.1129999999975553,1.1129999999975553,1.1129999999975553,40.605169661,121.017636583,0.0,0.5342,1.1129999999975553,0.0
40.595791668,121.029191667,13.6957,0.0460766922526503,0.003839724354387525,2.0093975678210714,925.0898245598266,1651.4445159350735,136.538101,-1890.005005,-87.757800984164,1351.862386106671,-18712.920841141993,-1.7821782177796712,1351.862386106671,-18712.920841141993,-1.7821782177796712,0.5979,-0.12,-0.2064,0.5979,-0.12,-0.2064,136.538101,1890.005005,-0.18,1.2139999999999418,1.2139999999999418,1.2139999999999418,1.2139999999999418,40.605171413,121.017635126,0.0,0.5979,1.2139999999999418,0.0
