lat_gps,lon_gps,alt_gps,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,lat,lon,depth,height,time,time_gps
40.578916668,121.041266667,17.399,-0.11711159280881951,-0.08464846872172498,-0.6319837221471474,-0.11798197647819632,-0.0010453435580786083,0.0,-0.0,-0.8114672886094324,0.0,0.0,0.0,0.0,0.0,0.0,-0.1077,-0.06,0.096,-0.1077,-0.06,0.096,0.0,0.0,-0.82,0.0,0.0,0.0,0.0,40.57890951,121.041274968,0.0,-0.1077,0.0,0.0
40.578901668,121.041266667,17.0943,-0.19058995431778078,-0.07923794804054256,-0.6122615015996116,-1367.4978003942472,-885.7405201316827,86.152046,-1658.016113,319.14532445324596,213.77678908271955,-4114.18390324185,-1.9776674938042387,213.77678908271955,-4114.18390324185,-1.9776674938042387,-0.1896,0.06,0.0373,-0.1896,0.06,0.0373,86.152046,1658.016113,-0.797,0.4029999999984284,0.4029999999984284,0.4029999999984284,0.4029999999984284,40.57889784,121.041271358,0.0,-0.1896,0.4029999999984284,0.0
40.578901668,121.041266667,17.0943,-0.20874137853852182,-0.0715584993317675,-0.608072711394825,-1366.6088430071145,-876.4159183343609,86.139114,-1658.159058,348.119881796557,852.8625148313331,-16417.41641545366,-7.891089108724434,852.8625148313331,-16417.41641545366,-7.891089108724434,-0.1289,0.06,0.066,-0.1289,0.06,0.066,86.139114,1658.159058,-0.797,0.5040000000008149,0.5040000000008149,0.5040000000008149,0.5040000000008149,40.578896901,121.041272519,0.0,-0.1289,0.5040000000008149,0.0
40.578901668,121.041266667,17.0943,-0.21991148575128552,-0.0645771823237902,-0.6012659273120463,-1370.1242125057722,-863.9246171707521,86.124825,-1658.304565,365.7677705292349,844.361029420438,-16257.887892323863,-7.892156862826166,844.361029420438,-16257.887892323863,-7.892156862826166,-0.0834,0.04,0.0964,-0.0834,0.04,0.0964,86.124825,1658.304565,-0.805,0.6059999999997672,0.6059999999997672,0.6059999999997672,0.6059999999997672,40.57889595,121.041273711,0.0,-0.0834,0.6059999999997672,0.0
40.578901668,121.041266667,17.0943,-0.22794000031045944,-0.059166661642607775,-0.5909684847252802,-1377.2800427014624,-847.2149741124688,86.109184,-1658.449951,378.41531573380456,852.5661782283858,-16420.296544757915,-7.970297029801729,852.5661782283858,-16420.296544757915,-7.970297029801729,-0.0685,0.01,0.1259,-0.0685,0.01,0.1259,86.109184,1658.449951,-0.805,0.7069999999985157,0.7069999999985157,0.7069999999985157,0.7069999999985157,40.578895007,121.041274916,0.0,-0.0685,0.7069999999985157,0.0
40.578901668,121.041266667,17.0943,-0.23422318561763902,-0.05689773361501514,-0.5614724203665751,-1399.9978213542681,-804.9014196153138,86.069565,-1658.736816,388.53074322846453,426.0869554431503,-8211.568395993463,-3.633663366316216,426.0869554431503,-8211.568395993463,-3.633663366316216,0.0541,-0.06,0.158,0.0541,-0.06,0.158,86.069565,1658.736816,-0.734,0.9089999999996508,0.9089999999996508,0.9089999999996508,0.9089999999996508,40.578893196,121.041277374,0.0,0.0541,0.9089999999996508,0.0
40.578901668,121.041266667,17.0943,-0.22619467105846514,-0.0614355896702004,-0.5441936607718321,-1415.87833838157,-783.0785038767156,86.047096,-1658.881226,375.9894044748395,851.9514455551107,-16424.566594262917,-6.4158415842379135,851.9514455551107,-16424.566594262917,-6.4158415842379135,0.1304,-0.1,0.1504,0.1304,-0.1,0.1504,86.047096,1658.881226,-0.648,1.0099999999983993,1.0099999999983993,1.0099999999983993,1.0099999999983993,40.578892298,121.041278635,0.0,0.1304,1.0099999999983993,0.0
40.578901668,121.041266667,17.0943,-0.21135937241651329,-0.06928957130417489,-0.5277875658030854,-1432.5767040438623,-763.6511687811027,86.00885,-1659.033325,352.63334272010826,843.2240195864298,-16265.032597626174,-5.362745097903032,843.2240195864298,-16265.032597626174,-5.362745097903032,0.1876,-0.12,0.1328,0.1876,-0.12,0.1328,86.00885,1659.033325,-0.547,1.1120000000009895,1.1120000000009895,1.1120000000009895,1.1120000000009895,40.578891432,121.041280099,0.0,0.1876,1.1120000000009895,0.0
40.578901668,121.041266667,17.1958,-0.19303341527057286,-0.07888888219014369,-0.5131268000863325,-1448.5042042651824,-746.5733290762714,85.968376,-1659.184814,323.6492469670766,851.1720396145071,-16427.572416045132,-4.336633663420071,851.1720396145071,-16427.572416045132,-4.336633663420071,0.1926,-0.12,0.1163,0.1926,-0.12,0.1163,85.968376,1659.184814,-0.438,1.212999999999738,1.212999999999738,1.212999999999738,1.212999999999738,40.578890583,121.04128158,0.0,0.1926,1.212999999999738,0.0
40.578890001,121.04127,17.1958,-0.15969762655748115,-0.09826203688728075,-0.48624872960562043,-1476.2572970659867,-711.9787306601698,86.691559,-1658.93103,270.7735943582232,431.30128855521554,-8253.388208916982,-1.3233830845709826,431.30128855521554,-8253.388208916982,-1.3233830845709826,0.1341,-0.09,0.1093,0.1341,-0.09,0.1093,86.691559,1658.93103,-0.266,1.4140000000006694,1.4140000000006694,1.4140000000006694,1.4140000000006694,40.57888838,121.041272991,0.0,0.1341,1.4140000000006694,0.0
40.578890001,121.04127,17.1958,-0.1504473815219112,-0.10437068926926091,-0.4738568919164601,-1487.144226921853,-694.8899714576198,86.645241,-1659.080933,256.099540211866,849.4631470675491,-16265.499343304333,-2.372549019632214,849.4631470675491,-16265.499343304333,-2.372549019632214,0.0743,-0.07,0.1154,0.0743,-0.07,0.1154,86.645241,1659.080933,-0.242,1.5159999999996217,1.5159999999996217,1.5159999999996217,1.5159999999996217,40.578887576,121.041274514,0.0,0.0743,1.5159999999996217,0.0
40.578890001,121.04127,17.1958,-0.14713125594312199,-0.10838494654884787,-0.4614650542273007,-1496.2857102986773,-677.2759451879682,86.597,-1659.230225,250.93905572524196,848.9901960871521,-16266.962990363172,-2.4509803921820392,848.9901960871521,-16266.962990363172,-2.4509803921820392,0.0142,-0.05,0.1172,0.0142,-0.05,0.1172,86.597,1659.230225,-0.25,1.617999999998574,1.617999999998574,1.617999999998574,1.617999999998574,40.578886786,121.04127605,0.0,0.0142,1.617999999998574,0.0
40.578890001,121.04127,17.1958,-0.1499237827463129,-0.11047934165124106,-0.44924774946334056,-1503.4974300436336,-659.6864696064245,86.546967,-1659.378784,255.61228547473442,856.900663346089,-16429.49291050288,-2.702970296965835,856.900663346089,-16429.49291050288,-2.702970296965835,-0.0432,-0.03,0.1139,-0.0432,-0.03,0.1139,86.546967,1659.378784,-0.273,1.7190000000009604,1.7190000000009604,1.7190000000009604,1.7190000000009604,40.578886011,121.041277599,0.0,-0.0432,1.7190000000009604,0.0
40.578890001,121.04127,17.1958,-0.16632987771505958,-0.11257373675363426,-0.4265584691874141,-1512.9437405156536,-627.0880391352588,86.441185,-1659.670898,282.38544219794716,430.0556467719603,-8257.069144389796,-1.8656716418161678,430.0556467719603,-8257.069144389796,-1.8656716418161678,-0.0973,-0.02,0.105,-0.0973,-0.02,0.105,86.441185,1659.670898,-0.375,1.9199999999982538,1.9199999999982538,1.9199999999982538,1.9199999999982538,40.578884528,121.041280712,0.0,-0.0973,1.9199999999982538,0.0
40.578890001,121.04127,17.1958,-0.17976891295541594,-0.11292280260403312,-0.4157374278250492,-1515.2141547996541,-611.5953106751894,86.386162,-1659.817627,304.19493221270005,846.9231568412379,-16272.721832920095,-4.294117646949776,846.9231568412379,-16272.721832920095,-4.294117646949776,-0.155,-0.02,0.1063,-0.155,-0.02,0.1063,86.386162,1659.817627,-0.438,2.022000000000844,2.022000000000844,2.022000000000844,2.022000000000844,40.578883793,121.041282293,0.0,-0.155,2.022000000000844,0.0
40.578890001,121.04127,17.1958,-0.19966566642815128,-0.11257373675363426,-0.4043927876870854,-1515.0779832972676,-595.2855685060663,86.329956,-1659.975098,336.36919261336374,854.7520396145513,-16435.397010104636,-4.950495049566291,854.7520396145513,-16435.397010104636,-4.950495049566291,-0.2147,-0.02,0.1149,-0.2147,-0.02,0.1149,86.329956,1659.975098,-0.5,2.1229999999995925,2.1229999999995925,2.1229999999995925,2.1229999999995925,40.57888299,121.041283964,0.0,-0.2147,2.1229999999995925,0.0
40.578890001,121.04127,17.2974,-0.22532200643246794,-0.11135200627723822,-0.39077921952153016,-1513.273822150123,-575.2012159532734,86.271507,-1660.131714,377.65895876393984,845.7990882439822,-16275.801117814244,-5.441176470644127,845.7990882439822,-16275.801117814244,-5.441176470644127,-0.2092,-0.01,0.1369,-0.2092,-0.01,0.1369,86.271507,1660.131714,-0.555,2.224999999998545,2.224999999998545,2.224999999998545,2.224999999998545,40.578882204,121.041285649,0.0,-0.2092,2.224999999998545,0.0
40.578876668,121.041273333,17.2974,-0.2633701841259443,-0.10367255756846318,-0.35866516128483494,-1516.0010800183827,-523.2381345233335,87.345764,-1660.282715,438.32747584899744,434.55603979898154,-8260.113009911976,-3.223880596999988,434.55603979898154,-8260.113009911976,-3.223880596999988,-0.1491,0.01,0.1946,-0.1491,0.01,0.1946,87.345764,1660.282715,-0.648,2.425999999999476,2.425999999999476,2.425999999999476,2.425999999999476,40.578875194,121.041276735,0.0,-0.1491,2.425999999999476,0.0
40.578876668,121.041273333,17.2974,-0.28064894372068816,-0.09599310885968812,-0.3394665395128969,-1518.8750057478396,-490.91571212873606,87.279442,-1660.436157,465.49638700251575,855.6808039303581,-16278.785853108393,-6.745098039284971,855.6808039303581,-16278.785853108393,-6.745098039284971,-0.1637,0.03,0.214,-0.1637,0.03,0.214,87.279442,1660.436157,-0.688,2.5279999999984284,2.5279999999984284,2.5279999999984284,2.5279999999984284,40.578874475,121.041278471,0.0,-0.1637,2.5279999999984284,0.0
40.578876668,121.041273333,17.2974,-0.3000220984178253,-0.08639379797371932,-0.31974431896536104,-1520.2279496045253,-456.3767134009163,87.209991,-1660.588135,495.7684460467379,863.4652574053399,-16441.466682779825,-7.267326732501549,863.4652574053399,-16441.466682779825,-7.267326732501549,-0.1898,0.04,0.2172,-0.1898,0.04,0.2172,87.209991,1660.588135,-0.734,2.629000000000815,2.629000000000815,2.629000000000815,2.629000000000815,40.578873782,121.041280225,0.0,-0.1898,2.629000000000815,0.0
40.578876668,121.041273333,17.2974,-0.3220132469929538,-0.07592182246175333,-0.30089476304382257,-1518.7869532810673,-422.01277272855725,87.137779,-1660.738892,529.9421478695654,854.2919509891674,-16281.753843304501,-7.65686274517669,854.2919509891674,-16281.753843304501,-7.65686274517669,-0.2197,0.04,0.2045,-0.2197,0.04,0.2045,87.137779,1660.738892,-0.781,2.730999999999767,2.730999999999767,2.730999999999767,2.730999999999767,40.578873115,121.041281996,0.0,-0.2197,2.730999999999767,0.0
40.578876668,121.041273333,17.2974,-0.36669367584400864,-0.05759586531581287,-0.27000243528352325,-1508.7404801714747,-362.97853681144295,86.985512,-1661.032837,598.7870928772106,432.76374129152714,-8263.844960160715,-4.079601990030849,432.76374129152714,-8263.844960160715,-4.079601990030849,-0.1735,0.03,0.1444,-0.1735,0.03,0.1444,86.985512,1661.032837,-0.82,2.9320000000006985,2.9320000000006985,2.9320000000006985,2.9320000000006985,40.578871876,121.041285555,0.0,-0.1735,2.9320000000006985,0.0
40.578876668,121.041273333,17.2974,-0.3797836452339661,-0.05113814708343386,-0.25865779514555953,-1505.9365295692528,-341.19051148362104,86.90696,-1661.180298,618.722598558732,852.0290196165951,-16286.081353108466,-7.892156862826166,852.0290196165951,-16286.081353108466,-7.892156862826166,-0.0704,0.02,0.1149,-0.0704,0.02,0.1149,86.90696,1661.180298,-0.805,3.0339999999996508,3.0339999999996508,3.0339999999996508,3.0339999999996508,40.578871267,121.041287361,0.0,-0.0704,3.0339999999996508,0.0
40.578876668,121.041273333,17.399,-0.38117990863556156,-0.04590215932745086,-0.2490584842595905,-1509.1886883686145,-323.53899849714924,86.864838,-1661.329956,620.6732769335351,860.0479010007557,-16448.811445748368,-7.504950495142497,860.0479010007557,-16448.811445748368,-7.504950495142497,0.0636,0.01,0.0855,0.0636,0.01,0.0855,86.864838,1661.329956,-0.758,3.1349999999983993,3.1349999999983993,3.1349999999983993,3.1349999999983993,40.57887044,121.041288844,0.0,0.0636,3.1349999999983993,0.0
40.578876668,121.041273333,17.399,-0.3689626038716013,-0.041887902047863905,-0.24225170017681286,-1519.4525912638182,-311.9283197309113,86.821709,-1661.47937,601.6782576134827,851.1932254685804,-16289.013430958898,-6.7450980390443975,851.1932254685804,-16289.013430958898,-6.7450980390443975,0.1944,0.01,0.0719,0.1944,0.01,0.0719,86.821709,1661.47937,-0.688,3.2370000000009895,3.2370000000009895,3.2370000000009895,3.2370000000009895,40.578869621,121.041290334,0.0,0.1944,3.2370000000009895,0.0
40.578865001,121.04128,17.399,-0.30543261909900765,-0.033510321638291124,-0.2289871978616561,-1559.635261229988,-290.6458191501999,87.737411,-1661.641602,501.81053899423426,436.5045323441864,-8266.873641902366,-2.6815920398371054,436.5045323441864,-8266.873641902366,-2.6815920398371054,0.4528,0.02,0.0889,0.4528,0.02,0.0889,87.737411,1661.641602,-0.539,3.437999999998283,3.437999999998283,3.437999999998283,3.437999999998283,40.578863409,121.041282979,0.0,0.4528,3.437999999998283,0.0
40.578865001,121.04128,17.399,-0.25481807079117214,-0.02949606435870417,-0.22043508452688373,-1585.8051820628057,-278.16050146209824,87.691086,-1661.790039,420.81440364677,868.2285742369105,-16453.366722383504,-4.871287128597769,868.2285742369105,-16453.366722383504,-4.871287128597769,0.5687,0.01,0.0984,0.5687,0.01,0.0984,87.691086,1661.790039,-0.492,3.5390000000006694,3.5390000000006694,3.5390000000006694,3.5390000000006694,40.578862615,121.041284493,0.0,0.5687,3.5390000000006694,0.0
40.578865001,121.04128,17.399,-0.19390607989657,-0.02652900463031381,-0.21066124071571546,-1611.3744797623683,-263.6476913353793,87.643188,-1661.937988,321.9962812601582,859.2469411852967,-16293.509686441876,-4.598039215733505,859.2469411852967,-16293.509686441876,-4.598039215733505,0.6515,0.0,0.1079,0.6515,0.0,0.1079,87.643188,1661.937988,-0.469,3.6409999999996217,3.6409999999996217,3.6409999999996217,3.6409999999996217,40.578861832,121.041286016,0.0,0.6515,3.6409999999996217,0.0
40.578865001,121.04128,17.399,-0.12636183784438945,-0.025132741228718343,-0.19949113350295197,-1632.5050843064225,-246.08065844611303,87.593697,-1662.085327,211.12077939234717,858.7617353029389,-16294.95418644189,-4.745098039264428,858.7617353029389,-16294.95418644189,-4.745098039264428,0.7038,-0.01,0.1197,0.7038,-0.01,0.1197,87.593697,1662.085327,-0.484,3.742999999998574,3.742999999998574,3.742999999998574,3.742999999998574,40.578861062,121.04128755,0.0,0.7038,3.742999999998574,0.0
40.578865001,121.04128,17.399,0.022514747350726852,-0.02897246558310587,-0.1710422666954445,-1652.7614547653002,-195.61872559583335,87.487534,-1662.374512,-35.444315355063004,435.26136318206284,-8270.519960160684,-2.835820895509248,435.26136318206284,-8270.519960160684,-2.835820895509248,0.6894,-0.04,0.1552,0.6894,-0.04,0.1552,87.487534,1662.374512,-0.57,3.9439999999995052,3.9439999999995052,3.9439999999995052,3.9439999999995052,40.578859603,121.041290645,0.0,0.6894,3.9439999999995052,0.0
40.578865001,121.04128,17.399,0.08831366015091306,-0.03420845333908886,-0.15463617172669783,-1650.4595061164534,-163.7419263083336,87.431473,-1662.519409,-144.17849574858954,865.6581485255776,-16460.58820812475,-6.188118811957864,865.6581485255776,-16460.58820812475,-6.188118811957864,0.632,-0.04,0.1813,0.632,-0.04,0.1813,87.431473,1662.519409,-0.625,4.044999999998254,4.044999999998254,4.044999999998254,4.044999999998254,40.578858887,121.041292224,0.0,0.632,4.044999999998254,0.0
40.578865001,121.04128,18.2974,0.14748032179352083,-0.04066617157146788,-0.13578661580515836,-1642.4897639092667,-126.27489565436082,87.343094,-1662.613159,-241.23395517674115,856.3048431155094,-16300.129009389988,-6.66666666649737,856.3048431155094,-16300.129009389988,-6.66666666649737,0.5515,-0.04,0.21,0.5515,-0.04,0.21,87.343094,1662.613159,-0.68,4.147000000000844,4.147000000000844,4.147000000000844,4.147000000000844,40.578858713,121.041293729,0.0,0.5515,4.147000000000844,0.0
40.578865001,121.04128,18.2974,0.19565140914856435,-0.04904375198104066,-0.11466813185602734,-1631.9179829955856,-84.24277604211689,87.252747,-1662.704712,-319.2920158450363,863.88858416912,-16462.42289129309,-7.267326732763315,863.88858416912,-16462.42289129309,-7.267326732763315,0.4141,-0.05,0.2328,0.4141,-0.05,0.2328,87.252747,1662.704712,-0.734,4.2479999999995925,4.2479999999995925,4.2479999999995925,4.2479999999995925,40.578858563,121.041295239,0.0,0.4141,4.2479999999995925,0.0
40.578853334,121.041291667,18.2974,0.23841197582242543,-0.07016223593017204,-0.06963863715457391,-1620.0032671533752,2.318772105945993,87.662132,-1663.150879,-386.44559045558947,433.970950492611,-8233.420193023043,-4.0247524752249095,433.970950492611,-8233.420193023043,-4.0247524752249095,0.0259,-0.06,0.2462,0.0259,-0.06,0.2462,87.662132,1663.150879,-0.813,4.450000000000728,4.450000000000728,4.450000000000728,4.450000000000728,40.578853141,121.041294672,0.0,0.0259,4.450000000000728,0.0
40.578853334,121.041291667,18.2974,0.23003439541285262,-0.08185594191853406,-0.047647488579445514,-1623.036342654049,41.08817533322512,87.565727,-1663.236328,-371.6023465963565,866.9873960503465,-16467.68641604563,-8.118811881288716,866.9873960503465,-16467.68641604563,-8.118811881288716,-0.1729,-0.07,0.2344,-0.1729,-0.07,0.2344,87.565727,1663.236328,-0.82,4.550999999999476,4.550999999999476,4.550999999999476,4.550999999999476,40.578853069,121.041296192,0.0,-0.1729,4.550999999999476,0.0
40.578853334,121.041291667,18.2974,0.2012364627549462,-0.0937241808320955,-0.027052603405912305,-1632.1962197558748,74.14949100031502,87.467697,-1663.319702,-323.60628903635103,857.526441185279,-16307.05590212829,-7.892156862826166,857.526441185279,-16307.05590212829,-7.892156862826166,-0.3764,-0.07,0.2164,-0.3764,-0.07,0.2164,87.467697,1663.319702,-0.805,4.652999999998428,4.652999999998428,4.652999999998428,4.652999999998428,40.578853021,121.041297714,0.0,-0.3764,4.652999999998428,0.0
40.578853334,121.041291667,18.2974,0.1488765851951163,-0.10576695267085637,-0.0061086523819805505,-1645.5449272649548,102.95815975330237,87.367912,-1663.401123,-236.8935788464693,865.0288316627287,-16469.318049115802,-7.732673267144019,865.0288316627287,-16469.318049115802,-7.732673267144019,-0.5345,-0.08,0.1907,-0.5345,-0.08,0.1907,87.367912,1663.401123,-0.781,4.754000000000815,4.754000000000815,4.754000000000815,4.754000000000815,40.578852997,121.041299236,0.0,-0.5345,4.754000000000815,0.0
40.578853334,121.041291667,18.2974,0.022514747350726852,-0.1202531854624093,0.025481807079116854,-1660.2566589706946,133.45993022258165,87.165291,-1663.555908,-27.43788122779477,433.6581641770951,-8276.397552200458,-3.577114427844122,433.6581641770951,-8276.397552200458,-3.577114427844122,-0.6681,-0.03,0.1323,-0.6681,-0.03,0.1323,87.165291,1663.555908,-0.719,4.955000000001746,4.955000000001746,4.955000000001746,4.955000000001746,40.578853023,121.041302252,0.0,-0.6681,4.955000000001746,0.0
40.578853334,121.041291667,18.2974,-0.0466002910282486,-0.12164944886400476,0.03717551306747914,-1657.8457420117652,138.8125239353632,87.06205,-1663.632812,86.79289610552152,853.5495098126892,-16310.125608010674,-6.892156862815893,853.5495098126892,-16310.125608010674,-6.892156862815893,-0.6821,0.01,0.0964,-0.6821,0.01,0.0964,87.06205,1663.632812,-0.703,5.0570000000006985,5.0570000000006985,5.0570000000006985,5.0570000000006985,40.578853049,121.041303774,0.0,-0.6821,5.0570000000006985,0.0
40.578853334,121.041291667,17.0943,-0.11588986233242347,-0.11833332328521555,0.045204027626652696,-1648.0909060968713,138.3386080202548,86.958801,-1663.736328,200.59836108775656,852.5372647146395,-16311.140470755781,-6.970588235365719,852.5372647146395,-16311.140470755781,-6.970588235365719,-0.6853,0.04,0.065,-0.6853,0.04,0.065,86.958801,1663.736328,-0.711,5.158999999999651,5.158999999999651,5.158999999999651,5.158999999999651,40.578852886,121.041305491,0.0,-0.6853,5.158999999999651,0.0
40.578853334,121.041291667,17.0943,-0.18535396656179778,-0.11222467090323539,0.049916416607038064,-1630.8395868275156,133.58698098031158,86.855049,-1663.839478,313.72423745373754,859.9509802086752,-16473.658198223922,-7.198019802069386,859.9509802086752,-16473.658198223922,-7.198019802069386,-0.6923,0.06,0.0472,-0.6923,0.06,0.0472,86.855049,1663.839478,-0.727,5.259999999998399,5.259999999998399,5.259999999998399,5.259999999998399,40.57885273,121.041307209,0.0,-0.6923,5.259999999998399,0.0
