lat_gps,lon_gps,alt_gps,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,lat,lon,depth,height,time,time_gps
40.700726668,121.023426667,0.0,-0.02356194490192345,0.02111848394913139,2.976659039276329,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,-0.0,-0.0057,0.0008,-0.0,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.700726728,121.023426197,0.0,0.0008,0.0,0.0
40.700726668,121.023426667,0.0,-0.02356194490192345,0.02111848394913139,2.9761354405007303,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0018,-0.0,-0.0059,0.0018,-0.0,-0.0059,0.0,0.0,0.0,0.10199999999999676,0.10199999999999676,0.10199999999999676,0.10199999999999676,40.700726788,121.023425723,0.0,0.0018,0.10199999999999676,0.0
40.700726668,121.023426667,0.0,-0.023387411976724018,0.02111848394913139,2.9756118417251325,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0025,0.0,-0.0062,0.0025,0.0,-0.0062,0.0,0.0,0.0,0.20199999999999818,0.20199999999999818,0.20199999999999818,0.20199999999999818,40.700726847,121.023425256,0.0,0.0025,0.20199999999999818,0.0
40.700726668,121.023426667,0.0,-0.02303834612632515,0.02111848394913139,2.9749137100243344,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0037,0.0,-0.0064,0.0037,0.0,-0.0064,0.0,0.0,0.0,0.3019999999999996,0.3019999999999996,0.3019999999999996,0.3019999999999996,40.700726907,121.023424789,0.0,0.0037,0.3019999999999996,0.0
40.700726668,121.023426667,0.0,-0.022689280275926284,0.02129301687433082,2.974215578323537,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0046,0.0,-0.0066,0.0046,0.0,-0.0066,0.0,0.0,0.0,0.402000000000001,0.402000000000001,0.402000000000001,0.402000000000001,40.700726967,121.02342432,0.0,0.0046,0.402000000000001,0.0
40.700726668,121.023426667,0.0,-0.022689280275926284,0.02111848394913139,2.387610416728243,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0057,0.0,-0.0068,0.0057,0.0,-0.0068,0.0,0.0,0.0,0.5039999999999978,0.5039999999999978,0.5039999999999978,0.5039999999999978,40.700727218,121.02342397,0.0,0.0057,0.5039999999999978,0.0
40.700743335,121.023415,0.0,-0.02199114857512855,0.021467549799530253,2.386912285027445,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0063,0.0,-0.0073,0.0063,0.0,-0.0073,0.0,0.0,0.0,0.6039999999999992,0.6039999999999992,0.6039999999999992,0.6039999999999992,40.700743583,121.023414653,0.0,0.0063,0.6039999999999992,0.0
40.700743335,121.023415,0.0,-0.02129301687433082,0.02181661564992912,2.386214153326647,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.007,0.0,-0.0077,0.007,0.0,-0.0077,0.0,0.0,0.0,0.7040000000000006,0.7040000000000006,0.7040000000000006,0.7040000000000006,40.700743829,121.023414311,0.0,0.007,0.7040000000000006,0.0
40.700743335,121.023415,0.0,-0.020420352248333655,0.02234021442552742,2.3853414887006505,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.007,0.0,-0.0077,0.007,0.0,-0.0077,0.0,0.0,0.0,0.804000000000002,0.804000000000002,0.804000000000002,0.804000000000002,40.700744076,121.023413966,0.0,0.007,0.804000000000002,0.0
40.700743335,121.023415,0.0,-0.01972222054753592,0.022863813201125717,2.3846433569998524,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0072,0.0,-0.0073,0.0072,0.0,-0.0073,0.0,0.0,0.0,0.9059999999999988,0.9059999999999988,0.9059999999999988,0.9059999999999988,40.700744327,121.023413617,0.0,0.0072,0.9059999999999988,0.0
40.700743335,121.023415,0.0,-0.01884955592153876,0.023212879051524585,2.3839452252990547,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0084,0.01,-0.0065,0.0084,0.01,-0.0065,0.0,0.0,0.0,1.0060000000000002,1.0060000000000002,1.0060000000000002,1.0060000000000002,40.700744576,121.023413271,0.0,0.0084,1.0060000000000002,0.0
40.700743335,121.023415,0.0,-0.017976891295541596,0.023911010752322315,2.383247093598257,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0084,0.01,-0.0061,0.0084,0.01,-0.0061,0.0,0.0,0.0,1.1060000000000016,1.1060000000000016,1.1060000000000016,1.1060000000000016,40.700744822,121.02341293,0.0,0.0084,1.1060000000000016,0.0
40.700743335,121.023415,0.0,-0.017278759594743863,0.024434609527920613,2.382548961897459,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0083,0.01,-0.0063,0.0083,0.01,-0.0063,0.0,0.0,0.0,1.206000000000003,1.206000000000003,1.206000000000003,1.206000000000003,40.70074507,121.023412586,0.0,0.0083,1.206000000000003,0.0
40.700743335,121.023415,0.0,-0.016406094968746697,0.02495820830351891,2.3818508301966617,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0065,0.01,-0.0064,0.0065,0.01,-0.0064,0.0,0.0,0.0,1.3070000000000022,1.3070000000000022,1.3070000000000022,1.3070000000000022,40.700745322,121.023412237,0.0,0.0065,1.3070000000000022,0.0
40.700743335,121.023415,0.0,-0.0158824961931484,0.02548180707911721,2.3813272314210634,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.006,0.01,-0.0063,0.006,0.01,-0.0063,0.0,0.0,0.0,1.4069999999999965,1.4069999999999965,1.4069999999999965,1.4069999999999965,40.70074557,121.023411894,0.0,0.006,1.4069999999999965,0.0
40.700773335,121.023413333,0.0,-0.0153588974175501,0.02600540585471551,2.3043582114081134,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0048,0.01,-0.0059,0.0048,0.01,-0.0059,0.0,0.0,0.0,1.506999999999998,1.506999999999998,1.506999999999998,1.506999999999998,40.700773604,121.023413015,0.0,0.0048,1.506999999999998,0.0
40.700773335,121.023413333,0.0,-0.014835298641951801,0.02652900463031381,2.303834612632515,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0041,0.01,-0.0052,0.0041,0.01,-0.0052,0.0,0.0,0.0,1.6069999999999993,1.6069999999999993,1.6069999999999993,1.6069999999999993,40.70077387,121.0234127,0.0,0.0041,1.6069999999999993,0.0
40.700773335,121.023413333,0.0,-0.014486232791552934,0.027052603405912107,2.303311013856917,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0033,0.01,-0.0045,0.0033,0.01,-0.0045,0.0,0.0,0.0,1.7090000000000032,1.7090000000000032,1.7090000000000032,1.7090000000000032,40.700774142,121.023412378,0.0,0.0033,1.7090000000000032,0.0
40.700773335,121.023413333,0.0,-0.014137166941154071,0.02757620218151041,2.3029619480065175,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0027,0.0,-0.004,0.0027,0.0,-0.004,0.0,0.0,0.0,1.8089999999999975,1.8089999999999975,1.8089999999999975,1.8089999999999975,40.70077441,121.023412062,0.0,0.0027,1.8089999999999975,0.0
