lat_gps,lon_gps,alt_gps,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,lat,lon,depth,height,time,time_gps
40.591030001,121.030081667,16.1958,-0.10663961729685355,-0.06492624817418906,2.450267736874839,15.769293028622853,12.135109276120243,0.845346,-20.0,2.1870514611602125,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,-0.0,0.0241,0.0019,-0.0,0.0241,0.845346,20.0,0.008,0.0,0.0,0.0,0.0,40.591036637,121.030063933,0.0,0.0019,0.0,0.0
40.591045001,121.03007,16.1958,-0.1228711793404008,-0.05393067388662478,2.4527111978276315,1531.2676434214752,1095.5900429106182,140.348923,-1892.785645,239.24293333739132,349.1266741277356,-4708.422002465746,0.07711442786033922,349.1266741277356,-4708.422002465746,0.07711442786033922,-0.0314,0.04,-0.001,-0.0314,0.04,-0.001,140.348923,1892.785645,0.031,0.40200000000186265,0.40200000000186265,0.40200000000186265,0.40200000000186265,40.59104732,121.03006166,0.0,-0.0314,0.40200000000186265,0.0
40.591045001,121.03007,16.1958,-0.12426744274199626,-0.04921828490624009,2.451838533201634,1530.6364866162205,1095.774373358683,140.446564,-1892.62854,241.2436470717437,1376.9270980533593,-18555.18176489648,0.30392156863057285,1376.9270980533593,-18555.18176489648,0.30392156863057285,-0.0012,0.05,-0.0052,-0.0012,0.05,-0.0052,140.446564,1892.62854,0.031,0.5040000000008149,0.5040000000008149,0.5040000000008149,0.5040000000008149,40.591047893,121.030059605,0.0,-0.0012,0.5040000000008149,0.0
40.591045001,121.03007,16.1958,-0.12199851471440364,-0.04415683007545653,2.450267736874839,1530.1581846695365,1097.2507948297298,140.545746,-1892.46814,236.31629594488598,1391.5420395710798,-18737.308316388942,0.3069306930620545,1391.5420395710798,-18737.308316388942,0.3069306930620545,0.0534,0.06,-0.0165,0.0534,0.06,-0.0165,140.545746,1892.46814,0.031,0.6050000000032014,0.6050000000032014,0.6050000000032014,0.6050000000032014,40.591048479,121.030057512,0.0,0.0534,0.6050000000032014,0.0
40.591045001,121.03007,16.1958,-0.11309733552923257,-0.03735004599267865,2.4467770783708507,1529.2052716771202,1101.9586263006443,140.644455,-1892.307373,218.69266240528614,1378.8672058965165,-18552.03306881802,0.30392156863057285,1378.8672058965165,-18552.03306881802,0.30392156863057285,0.1042,0.07,-0.0334,0.1042,0.07,-0.0334,140.644455,1892.307373,0.031,0.7070000000021537,0.7070000000021537,0.7070000000021537,0.7070000000021537,40.591049071,121.030055421,0.0,0.1042,0.7070000000021537,0.0
40.591045001,121.03007,16.1958,-0.08499753457212385,-0.021642082724729686,2.435083372382489,1523.0569476189585,1119.41746045554,140.786377,-1892.026855,163.67195559370955,700.4297363151625,-9413.068930304644,0.19402985074536963,700.4297363151625,-9413.068930304644,0.19402985074536963,0.183,0.1,-0.0686,0.183,0.1,-0.0686,140.786377,1892.026855,0.039,0.908000000003085,0.908000000003085,0.908000000003085,0.908000000003085,40.591050272,121.030052054,0.0,0.183,0.908000000003085,0.0
40.591045001,121.03007,15.7974,-0.06335545184739416,-0.012042771838760872,2.4268803248981152,1517.4021137612376,1132.1627601676691,140.856903,-1891.884521,121.51551248133912,1394.6228019974783,-18731.529911123187,0.4653465346592313,1394.6228019974783,-18731.529911123187,0.4653465346592313,0.2579,0.1,-0.0839,0.2579,0.1,-0.0839,140.856903,1891.884521,0.047,1.0090000000018335,1.0090000000018335,1.0090000000018335,1.0090000000018335,40.591050889,121.030050361,0.0,0.2579,1.0090000000018335,0.0
40.591060001,121.030061667,15.7974,-0.034732052114687155,-0.0020943951023931952,2.4174555469373455,1508.3934930884025,1147.9333581353244,139.548569,-1891.53064,66.03062533766538,1368.1232255042491,-18544.418039406173,0.5392156862800486,1368.1232255042491,-18544.418039406173,0.5392156862800486,0.3079,0.11,-0.0961,0.3079,0.11,-0.0961,139.548569,1891.53064,0.055,1.1110000000007858,1.1110000000007858,1.1110000000007858,1.1110000000007858,40.59106063,121.030059981,0.0,0.3079,1.1110000000007858,0.0
40.591060001,121.030061667,15.7974,-0.0024434609527920616,0.007853981633974483,2.4069835714253798,1497.1866015609544,1164.1551698493392,139.616211,-1891.387085,3.5798496070973074,1368.7863823670011,-18543.010637445375,0.5392156862800486,1368.7863823670011,-18543.010637445375,0.5392156862800486,0.3345,0.1,-0.1076,0.3345,0.1,-0.1076,139.616211,1891.387085,0.055,1.212999999999738,1.212999999999738,1.212999999999738,1.212999999999738,40.591061273,121.030058304,0.0,0.3345,1.212999999999738,0.0
40.591060001,121.030061667,15.7974,0.06894050545377602,0.024783675378319478,2.384468824074653,1464.953239986038,1196.59796383224,139.74379,-1891.099487,-133.60734103399253,695.2427363151866,-9408.455159160387,0.4278606965154304,695.2427363151866,-9408.455159160387,0.4278606965154304,0.384,0.06,-0.1211,0.384,0.06,-0.1211,139.74379,1891.099487,0.086,1.4140000000006694,1.4140000000006694,1.4140000000006694,1.4140000000006694,40.591062603,121.030055021,0.0,0.384,1.4140000000006694,0.0
40.591060001,121.030061667,15.7974,0.10855947947404729,0.030892327760299633,2.3726005851610914,1443.6493000983814,1211.3840171340728,139.806473,-1890.953613,-208.99016639312205,1384.2225049177875,-18722.312999557613,1.0792079207665788,1384.2225049177875,-18722.312999557613,1.0792079207665788,0.412,0.04,-0.1276,0.412,0.04,-0.1276,139.806473,1890.953613,0.109,1.515000000003056,1.515000000003056,1.515000000003056,1.515000000003056,40.591063289,121.030053374,0.0,0.412,1.515000000003056,0.0
40.591060001,121.030061667,15.7974,0.15376350710070044,0.03577924966588375,2.3586379511451367,1415.759966761751,1226.2713910382,139.867126,-1890.806885,-294.2714753691005,1371.2463333474188,-18537.3224021512,1.3823529411906699,1371.2463333474188,-18537.3224021512,1.3823529411906699,0.4092,0.02,-0.1346,0.4092,0.02,-0.1346,139.867126,1890.806885,0.141,1.6170000000020082,1.6170000000020082,1.6170000000020082,1.6170000000020082,40.591063993,121.03005174,0.0,0.4092,1.6170000000020082,0.0
40.591060001,121.030061667,15.7974,0.1921607506445757,0.039095375244672985,2.3450243829795814,1387.4533333254128,1238.9968228952328,139.925766,-1890.65918,-366.10313463924393,1385.4036237795426,-18719.397822014125,1.7029702970508038,1385.4036237795426,-18719.397822014125,1.7029702970508038,0.3649,0.0,-0.1439,0.3649,0.0,-0.1439,139.925766,1890.65918,0.172,1.7180000000007567,1.7180000000007567,1.7180000000007567,1.7180000000007567,40.591064713,121.030050119,0.0,0.3649,1.7180000000007567,0.0
40.591075001,121.030051667,15.7974,0.25394540616517497,0.0445058959258554,2.3146556539948797,1325.3069605057233,1266.0486576664382,139.206467,-1889.587036,-480.208203476345,689.140925738702,-9354.39126727417,1.1584158415776493,689.140925738702,-9354.39126727417,1.1584158415776493,0.2628,-0.01,-0.1681,0.2628,-0.01,-0.1681,139.206467,1889.587036,0.234,1.9200000000018917,1.9200000000018917,1.9200000000018917,1.9200000000018917,40.591076281,121.030049015,0.0,0.2628,1.9200000000018917,0.0
40.591075001,121.030051667,15.7974,0.27872908154349446,0.04782202150464463,2.297376894400136,1292.2004920242891,1281.9247299378696,139.249207,-1889.459961,-525.6769193698331,1378.7050198190634,-18707.524366568436,2.4752475247831454,1378.7050198190634,-18707.524366568436,2.4752475247831454,0.2566,-0.02,-0.1808,0.2566,-0.02,-0.1808,139.249207,1889.459961,0.25,2.0210000000006403,2.0210000000006403,2.0210000000006403,2.0210000000006403,40.591076944,121.030047692,0.0,0.2566,2.0210000000006403,0.0
40.591075001,121.030051667,15.7974,0.3033382239966145,0.05113814708343386,2.2785273384785976,1256.0401343252165,1298.4166506578886,139.289505,-1889.332153,-570.4866375099443,1365.5833823182627,-18522.86424462766,2.607843137188677,1365.5833823182627,-18522.86424462766,2.607843137188677,0.2524,-0.03,-0.1972,0.2524,-0.03,-0.1972,139.289505,1889.332153,0.266,2.1230000000032305,2.1230000000032305,2.1230000000032305,2.1230000000032305,40.591077626,121.030046384,0.0,0.2524,2.1230000000032305,0.0
40.591075001,121.030051667,15.7974,0.32864549815053223,0.054279739737023644,2.2579324533050644,1216.275450075393,1315.1077933138668,139.327133,-1889.203369,-616.1712519226962,1379.4765643735284,-18704.98385171692,2.633663366369267,1379.4765643735284,-18704.98385171692,2.633663366369267,0.2893,-0.04,-0.2153,0.2893,-0.04,-0.2153,139.327133,1889.203369,0.266,2.224000000001979,2.224000000001979,2.224000000001979,2.224000000001979,40.591078329,121.030045096,0.0,0.2893,2.224000000001979,0.0
40.591075001,121.030051667,15.7974,0.39147735122232813,0.05724679946541401,2.2099358988752202,1120.1898360334724,1343.0505759731702,139.389465,-1888.94519,-727.278014195094,693.4799253699211,-9397.737263638048,1.3582089552175876,693.4799253699211,-9397.737263638048,1.3582089552175876,0.3685,-0.1,-0.2418,0.3685,-0.1,-0.2418,139.389465,1888.94519,0.273,2.4250000000029104,2.4250000000029104,2.4250000000029104,2.4250000000029104,40.591079813,121.030042635,0.0,0.3685,2.4250000000029104,0.0
40.591075001,121.030051667,15.7974,0.4317944569433971,0.05585053606381855,2.179741702815718,1059.3043630000448,1352.805036243347,139.416885,-1888.813843,-796.7732904058961,1366.8322058963931,-18517.782774700016,2.676470588262787,1366.8322058963931,-18517.782774700016,2.676470588262787,0.3967,-0.14,-0.2503,0.3967,-0.14,-0.2503,139.416885,1888.813843,0.273,2.5270000000018626,2.5270000000018626,2.5270000000018626,2.5270000000018626,40.59108059,121.030041422,0.0,0.3967,2.5270000000018626,0.0
40.591075001,121.030051667,15.7974,0.47071529926287065,0.052708943410228755,2.1500711055318145,1000.2976269429003,1357.240756553382,139.440475,-1888.681885,-862.4761849507414,1367.0634804061992,-18516.48906881765,2.676470588262787,1367.0634804061992,-18516.48906881765,2.676470588262787,0.4097,-0.17,-0.2523,0.4097,-0.17,-0.2523,139.440475,1888.681885,0.273,2.629000000000815,2.629000000000815,2.629000000000815,2.629000000000815,40.591081395,121.030040241,0.0,0.4097,2.629000000000815,0.0
