lat,lon,alt,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,time
34.525448476,108.426022343,0.0,-0.04485496177625427,-0.028274333882308142,-2.7358036025011114,0.0,0.0,0.611,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0686,0.01,0.0366,-0.0686,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.525448206,108.426021736,0.0,-0.05113814708343386,-0.02775073510670984,-2.732836542772721,0.0,0.0,0.605,0.051,0.0,-0.059130148329515964,0.017570594864305848,-0.0052228471336862444,-0.059130148329515964,0.017570594864305848,-0.0052228471336862444,-0.06,0.0,0.0281,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10400000000004184,0.10400000000004184
34.525447947,108.426021157,0.0,-0.056025068989017976,-0.027052603405912107,-2.7307421476703277,-0.2762631228303429,-0.511146020842512,0.602,0.051,0.0,-0.031069818606139492,0.012889960855777788,-0.005971543854486734,-0.031069818606139492,0.012889960855777788,-0.005971543854486734,-0.0431,0.01,0.0183,-0.0431,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20400000000000773,0.20400000000000773
34.525447416,108.426020001,0.0,-0.058643062867009474,-0.02426007660272118,-2.727775087941938,-0.5890484427008986,-1.0613474906595641,0.595,0.056,0.0,-0.03506871130258456,0.0337323024591054,-0.008350337027729538,-0.03506871130258456,0.0337323024591054,-0.008350337027729538,-0.0005,0.02,0.019,-0.0005,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40800000000001546,0.40800000000001546
34.525447153,108.426019436,0.0,-0.059864793343405505,-0.022689280275926284,-2.7253316269891457,-0.14301515248283767,-0.2542834105507088,0.592,0.057,0.0,-0.03139209321401261,0.025069638250331573,-0.009113378793869992,-0.03139209321401261,0.025069638250331573,-0.009113378793869992,-0.0173,0.01,0.0284,-0.0173,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5080000000000382,0.5080000000000382
34.525446886,108.426018873,0.0,-0.06440264939859076,-0.022165681500327987,-2.7218409684851568,-0.2961881943253065,-0.5169019574147489,0.594,0.06,0.0,0.018033389482376226,0.0508252409214122,-0.004306727911499632,0.018033389482376226,0.0508252409214122,-0.004306727911499632,-0.0534,0.0,0.0365,-0.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6080000000000041,0.6080000000000041
34.525446614,108.426018308,0.0,-0.07260569688296412,-0.02234021442552742,-2.71800124413077,-0.30173477644917035,-0.5187381808220086,0.596,0.061,0.0,0.017752123640200308,0.03269123421244406,-0.002182851885684959,0.017752123640200308,0.03269123421244406,-0.002182851885684959,-0.092,-0.01,0.0387,-0.092,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7080000000000268,0.7080000000000268
34.525446045,108.426017148,0.0,-0.09965830028887622,-0.02303834612632515,-2.71171805882359,-0.631202530166271,-1.0650200111033996,0.607,0.064,0.0,0.052637793953553565,0.03320361014927695,-0.004231819032918034,0.052637793953553565,0.03320361014927695,-0.004231819032918034,-0.1536,-0.0,0.0254,-0.1536,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.910000000000025,0.910000000000025
34.525446194,108.426015971,0.0,-0.11588986233242347,-0.021467549799530253,-2.7094491307959974,0.08182604481254212,-0.5349643706892959,0.614,0.067,0.0,0.06847851252149428,0.044864578578345075,-0.018235459165798083,0.06847851252149428,0.044864578578345075,-0.018235459165798083,-0.1632,0.02,0.0235,-0.1632,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000477,1.0100000000000477
34.525445901,108.426015388,0.0,-0.13194689145077132,-0.01815142422074103,-2.707005669843205,-0.3250304671734549,-0.5352643703819664,0.623,0.07,0.0,0.08816931080838424,0.04763636160630154,-0.02893904983521988,0.08816931080838424,0.04763636160630154,-0.02893904983521988,-0.1591,0.03,0.0327,-0.1591,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1100000000000136,1.1100000000000136
