lat,lon,alt,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,time
38.862197883,121.663368148,0.0,0.005061454830783556,-0.02234021442552742,-2.288650248140164,0.0,0.0,0.016,-0.07,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,-0.0564,-0.04,-0.0117,-0.0564,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.862201008,121.663370298,0.0,-0.010995574287564275,-0.04014257279586958,-2.2870794518133692,0.0,0.0,0.016,-0.07,-0.055,0.0027365532490751573,-0.00216490842227687,0.0034633151933522325,0.0027365532490751573,-0.00216490842227687,0.0034633151933522325,-0.0553,-0.01,0.0281,-0.0553,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40099999999983993,0.40099999999983993
38.862200972,121.663370211,0.0,-0.02775073510670984,-0.03560471674068432,-2.2804472006557908,-0.009966238253086594,-0.018830656202429807,0.039,-0.016,-0.047,0.1138354442055001,0.2607354957899564,0.04450281588529337,0.1138354442055001,0.2607354957899564,0.04450281588529337,-0.1049,0.06,0.0352,-0.1049,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999995634,0.6049999999995634
38.862200955,121.663370168,0.0,-0.039269908169872414,-0.02775073510670984,-2.2774801409274006,-0.009251074474656463,-0.018294852539150953,0.039,-0.016,-0.047,-0.0031281857115694864,-0.004099247798639005,-0.0012301363545441125,-0.0031281857115694864,-0.004099247798639005,-0.0012301363545441125,-0.1334,0.09,0.0275,-0.1334,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049999999999272,0.7049999999999272
38.862200937,121.663370125,0.0,-0.053581608036225914,-0.017453292519943295,-2.275734811675406,-0.019982305757554355,-0.037321496045470644,0.039,-0.016,-0.047,-0.004438813074097013,-0.005824395296163755,-0.0017608456622787978,-0.004438813074097013,-0.005824395296163755,-0.0017608456622787978,-0.1496,0.11,0.0153,-0.1496,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8049999999993815,0.8049999999993815
38.86220092,121.663370082,0.0,-0.06876597252857658,-0.005934119456780721,-2.275560278750207,-0.01887219072928854,-0.037321498529139734,0.039,-0.016,-0.047,-0.0052492583233933535,-0.006774734996877563,-0.002132452547165767,-0.0052492583233933535,-0.006774734996877563,-0.002132452547165767,-0.1527,0.12,-0.0005,-0.1527,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9049999999997453,0.9049999999997453
38.862200884,121.663369995,0.0,-0.09669124056048586,0.013962634015954637,-2.28079626650619,-0.039964621166241936,-0.07551093842841285,0.039,-0.016,-0.047,-0.004966446098395014,-0.007166141338827048,-0.0018522893831960782,-0.004966446098395014,-0.007166141338827048,-0.0018522893831960782,-0.1177,0.08,-0.0348,-0.1177,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.106999999999971,1.106999999999971
38.862200867,121.663369952,0.0,-0.10821041362364843,0.019896753472735354,-2.2855086554865744,-0.009342668448679724,-0.018475989239652966,0.039,-0.016,-0.047,-0.00363729238477619,-0.006971208918153673,-0.0007113136415807899,-0.00363729238477619,-0.006971208918153673,-0.0007113136415807899,-0.1082,0.05,-0.0448,-0.1082,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2069999999994252,1.2069999999994252
38.86220085,121.663369909,0.0,-0.11798425743481668,0.022514747350726852,-2.290570110317358,-0.018872178081088275,-0.037321492579252206,0.039,-0.016,-0.047,-0.0022335452010651805,-0.006395628151557676,0.00027496527887745483,-0.0022335452010651805,-0.006395628151557676,0.00027496527887745483,-0.0836,0.02,-0.0498,-0.0836,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.306999999999789,1.306999999999789
38.862202288,121.663371369,0.0,-0.12496557444279399,0.022165681500327987,-2.2954570322229424,1.596364852331253,1.267194965832853,0.039,-0.016,-0.047,-0.0008856703430475904,-0.005143372400686485,0.000986005746491359,-0.0008856703430475904,-0.005143372400686485,0.000986005746491359,-0.0499,-0.01,-0.0463,-0.0499,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4070000000001528,1.4070000000001528
